frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
75,1785981021607859908,2,604,245,0.405629,0.812500,88,76.199995,62.011010,358,345,15,15,0,308,53.141466,138.211005,149.289391,1,0.158727,0.056644,-1.569349,-0.012678,-0.055181,0.039115,0.997629
76,1785981021697859992,2,604,237,0.392384,0.770833,166,75.666492,62.498845,368,359,12,12,0,313,53.614885,138.165337,149.986186,1,0.161039,0.061758,-1.600103,-0.011210,-0.054655,0.039222,0.997672
77,1785981021787859117,2,604,246,0.407285,0.791667,119,72.427643,62.044093,359,352,20,20,0,299,53.911595,134.471736,150.874232,1,0.156698,0.054308,-1.634304,-0.014729,-0.053591,0.027554,0.998074
78,1785981021877859992,2,605,263,0.434711,0.750000,103,74.808904,62.962180,358,350,28,28,0,291,53.848262,137.771084,150.391854,1,0.166701,0.046837,-1.667883,-0.017368,-0.056848,0.022274,0.997983
79,1785981021967859909,2,608,234,0.384868,0.812500,107,75.899660,61.414090,346,338,19,19,0,294,52.891882,137.313750,147.797217,1,0.187375,0.081626,-1.702305,-0.006977,-0.061497,0.037894,0.997363
80,1785981022057861159,2,604,215,0.355960,0.729167,84,75.382407,60.852504,354,344,12,11,1,310,53.039883,136.234911,147.229589,1,0.204156,0.119851,-1.741517,0.004809,-0.065578,0.048443,0.996659
81,1785981022147861700,2,605,237,0.391736,0.854167,162,76.764122,61.697632,356,346,16,16,0,306,53.187549,138.461754,149.091472,1,0.207887,0.129685,-1.783178,0.007553,-0.065001,0.049617,0.996622
82,1785981022237860075,2,604,241,0.399007,0.833333,117,71.730139,61.437298,348,335,17,17,0,300,53.330717,133.167437,148.091009,1,0.200108,0.124265,-1.816046,0.005079,-0.061427,0.048126,0.996938
83,1785981022327864909,2,603,237,0.393035,0.833333,108,76.478079,61.803175,359,351,16,16,0,316,53.415050,138.281254,150.977732,1,0.196896,0.140697,-1.846168,0.008895,-0.059362,0.045707,0.997150
84,1785981022417863742,2,604,255,0.422185,0.812500,107,74.837780,62.198051,354,343,16,16,0,303,52.981840,137.035831,149.338807,1,0.196341,0.151630,-1.880525,0.010779,-0.058028,0.045385,0.997225
